nta2020,ntaname,hour,violations,lane_miles,rate
MN1203,Inwood,16,12811,0.520993029359895,24589.58043208354
MN0702,Upper West Side (Central),13,3675,0.1701187723342911,21602.554201240404
MN0901,Morningside Heights,11,3547,0.1706396390748625,20786.494974030455
MN0702,Upper West Side (Central),14,3370,0.1701187723342911,19809.68915868848
MN0901,Morningside Heights,10,3369,0.1706396390748625,19743.36102833623
MN0702,Upper West Side (Central),11,3285,0.1701187723342911,19310.0382451904
MN0901,Morningside Heights,12,3267,0.1706396390748625,19145.61011563504
MN0702,Upper West Side (Central),12,3087,0.1701187723342911,18146.14552904194
MN1203,Inwood,17,9423,0.520993029359895,18086.614347944986
MN0901,Morningside Heights,13,3055,0.1706396390748625,17903.22586570709
MN0702,Upper West Side (Central),10,2986,0.1701187723342911,17552.4426788854
MN0702,Upper West Side (Central),15,2882,0.1701187723342911,16941.1050906054
MN0901,Morningside Heights,9,2814,0.1706396390748625,16490.892826873893
MN1203,Inwood,18,8475,0.520993029359895,16267.01226773148
MN0901,Morningside Heights,14,2698,0.1706396390748625,15811.097671252935
MN0702,Upper West Side (Central),9,2601,0.1701187723342911,15289.317953041167
MN0901,Morningside Heights,15,2207,0.1706396390748625,12933.688865995267
MN0702,Upper West Side (Central),16,2081,0.1701187723342911,12232.630011641166
MN0901,Morningside Heights,16,2086,0.1706396390748625,12224.59219504582
MN0901,Morningside Heights,8,2066,0.1706396390748625,12107.386133731865
